#           x           U_x           U_y           U_z             p
  2.43081e-18  -4.25215e-20   4.52341e-18  -7.21346e-47    -0.0140948
   0.00502513   -8.7903e-05    0.00935107  -1.49121e-31    -0.0140733
    0.0100503  -0.000175806     0.0187021  -2.98242e-31    -0.0140519
    0.0150754  -0.000701209     0.0268461  -2.23677e-31    -0.0142904
    0.0201005   -0.00124043      0.034952  -1.42048e-31    -0.0145371
    0.0251256   -0.00178095     0.0430696  -3.35449e-31    -0.0147438
    0.0301508   -0.00232156      0.051188  -5.46786e-31     -0.014948
    0.0351759   -0.00327585     0.0582191   -2.5579e-31    -0.0151881
     0.040201   -0.00427197     0.0651403   8.60045e-32     -0.015432
    0.0452261   -0.00527219     0.0720804      4.28e-31    -0.0156392
    0.0502513   -0.00627299      0.079023   7.70023e-31    -0.0158413
    0.0552764   -0.00760032     0.0850139   5.73843e-31    -0.0160432
    0.0603015   -0.00898668     0.0908327   2.80396e-31     -0.016245
    0.0653266    -0.0103811     0.0966747  -1.28344e-31    -0.0164134
    0.0703518    -0.0117773      0.102522  -5.63026e-31    -0.0165743
    0.0753769    -0.0134034      0.107554  -3.91781e-31      -0.01675
     0.080402    -0.0150923      0.112363  -5.52844e-32    -0.0169298
    0.0854271     -0.016794      0.117199   1.65076e-31    -0.0170793
    0.0904523    -0.0184998      0.122042   3.47771e-31    -0.0172189
    0.0954774    -0.0203648      0.126201   2.15853e-31    -0.0173809
     0.100503    -0.0222904      0.130099  -3.57055e-32    -0.0175515
     0.105528    -0.0242342      0.134025  -1.01286e-31    -0.0176949
     0.110553     -0.026186      0.137963  -8.48181e-32    -0.0178263
     0.115578    -0.0282405      0.141335  -6.88445e-33    -0.0179827
     0.120603     -0.030347       0.14442   1.02255e-31    -0.0181519
     0.125628    -0.0324775      0.147533   5.66696e-31    -0.0182971
     0.130653    -0.0346218      0.150664   1.23744e-30    -0.0184283
     0.135678    -0.0368232      0.153333   1.19258e-30    -0.0185855
     0.140704    -0.0390623      0.155697   6.74703e-31      -0.01876
     0.145729     -0.041331       0.15809   6.65395e-31    -0.0189135
     0.150754    -0.0436219      0.160506   1.03752e-30    -0.0190513
     0.155779    -0.0459343      0.162551    9.2318e-31    -0.0192148
     0.160804     -0.048265      0.164279   3.95812e-31    -0.0194002
     0.165829    -0.0506306      0.166037  -9.97915e-34    -0.0195676
     0.170854    -0.0530296      0.167824  -2.72471e-31    -0.0197178
     0.175879    -0.0554236      0.169314  -2.74028e-31    -0.0198921
     0.180905    -0.0578123      0.170481   1.73023e-32    -0.0200926
      0.18593    -0.0602402      0.171677   4.22487e-31    -0.0202779
     0.190955    -0.0627161       0.17291     9.674e-31    -0.0204447
      0.19598    -0.0651685      0.173907   1.04214e-30    -0.0206332
     0.201005    -0.0675881      0.174577   4.63215e-31    -0.0208518
      0.20603    -0.0700498      0.175274  -1.06213e-31    -0.0210579
     0.211055     -0.072578      0.176015  -6.60648e-31    -0.0212442
      0.21608    -0.0750708      0.176572  -8.64619e-31    -0.0214491
     0.221106       -0.0775      0.176796  -4.37758e-31    -0.0216875
     0.226131    -0.0799724      0.177044   -1.0065e-31    -0.0219159
     0.231156    -0.0825339      0.177345   5.13403e-32    -0.0221234
     0.236181    -0.0850541      0.177503   1.40466e-31     -0.022346
     0.241206     -0.087476      0.177321   8.00179e-32    -0.0226047
     0.246231      -0.08994      0.177161    1.1392e-31    -0.0228555
     0.251256    -0.0925205       0.17706   4.09099e-31    -0.0230845
     0.256281     -0.095059      0.176852   5.53666e-31    -0.0233251
     0.261307    -0.0974611      0.176294   2.07101e-31    -0.0236035
     0.266332    -0.0999013      0.175753  -2.17001e-31    -0.0238761
     0.271357      -0.10249      0.175279  -9.43503e-31    -0.0241257
     0.276382     -0.105041      0.174729  -1.39918e-30    -0.0243835
     0.281407     -0.107414      0.173815  -5.64442e-31      -0.02468
     0.286432     -0.109817      0.172913   2.57571e-31    -0.0249725
     0.291457     -0.112406      0.172084   1.00324e-30    -0.0252409
     0.296482     -0.114967      0.171208   1.60235e-30    -0.0255141
     0.301508     -0.117302      0.169949   1.04228e-30    -0.0258259
     0.306533     -0.119657      0.168698   5.66448e-31    -0.0261355
     0.311558     -0.122241      0.167525   1.03825e-30    -0.0264195
     0.316583      -0.12481      0.166331   1.44585e-30    -0.0267055
     0.321608     -0.127101      0.164734   6.59307e-31     -0.027029
     0.326633     -0.129399      0.163138  -1.09598e-31    -0.0273519
     0.331658     -0.131973      0.161624  -3.18708e-32    -0.0276474
     0.336683     -0.134548       0.16011   4.58569e-32    -0.0279429
     0.341709     -0.136794       0.15818  -1.96097e-31    -0.0282729
     0.346734     -0.139036      0.156246  -4.41346e-31    -0.0286033
     0.351759     -0.141584      0.154386  -1.74811e-30    -0.0289062
     0.356784     -0.144145       0.15253  -3.10004e-30    -0.0292079
     0.361809     -0.146359      0.150285   -1.6075e-30    -0.0295373
     0.366834     -0.148547       0.14801   1.03859e-31    -0.0298687
     0.371859     -0.151054      0.145798   1.03582e-30    -0.0301734
     0.376884     -0.153597      0.143593   1.87921e-30     -0.030475
      0.38191     -0.155779      0.141027   1.49807e-30    -0.0307975
     0.386935     -0.157907      0.138407   9.29645e-31    -0.0311231
      0.39196     -0.160363      0.135836    1.3707e-30    -0.0314224
     0.396985     -0.162883      0.133275   2.00873e-30    -0.0317166
      0.40201     -0.165032      0.130382   1.46033e-30    -0.0320251
     0.407035     -0.167091       0.12741   6.26593e-31    -0.0323372
      0.41206     -0.169485      0.124472   2.49715e-32     -0.032623
     0.417085     -0.171977      0.121545  -5.09458e-31    -0.0329011
     0.422111     -0.174089      0.118318  -3.67235e-31    -0.0331879
     0.427136     -0.176071      0.114988   6.71801e-33    -0.0334775
     0.432161      -0.17839      0.111678   3.04761e-31    -0.0337408
     0.437186     -0.180844      0.108376   5.72439e-31    -0.0339936
     0.442211     -0.182915      0.104808   4.02782e-31    -0.0342497
     0.447236     -0.184809      0.101115   3.07763e-32    -0.0345074
     0.452261     -0.187036     0.0974279   9.65752e-33    -0.0347386
     0.457286     -0.189441     0.0937432   1.74948e-31    -0.0349557
     0.462312     -0.191464     0.0898273   -4.8266e-32    -0.0351718
     0.467337     -0.193256     0.0857711  -5.07129e-31    -0.0353872
     0.472362     -0.195373     0.0817051  -7.42515e-31     -0.035576
     0.477387     -0.197714     0.0776323  -8.23779e-31    -0.0357465
     0.482412     -0.199679     0.0733657  -7.50557e-31    -0.0359125
     0.487437      -0.20135     0.0689478  -5.56557e-31    -0.0360751
