#           y           U_x           U_y           U_z             p
  1.89651e-19   -1.4414e-19    9.5026e-23  -2.72053e-48    0.00261203
   0.00502513   -0.00381924   2.51788e-06  -7.20852e-32     0.0026102
    0.0100503   -0.00763847   5.03575e-06   -1.4417e-31    0.00260837
    0.0150754    -0.0111257   9.38828e-06   -8.2479e-32    0.00260918
    0.0201005    -0.0146025   1.37987e-05  -1.65633e-32    0.00261007
    0.0251256    -0.0181136   1.91397e-05   3.08861e-32    0.00260774
    0.0301508    -0.0216269   2.45413e-05   7.71312e-32     0.0026052
    0.0351759    -0.0248549   2.63802e-05   4.67931e-32    0.00260235
     0.040201    -0.0280541   2.78588e-05   8.71059e-33    0.00259947
    0.0452261    -0.0313128   3.18493e-05   1.35537e-33    0.00259389
    0.0502513    -0.0345797   3.61902e-05  -1.71232e-33    0.00258793
    0.0552764    -0.0376054   3.42077e-05  -5.00827e-34    0.00257963
    0.0603015    -0.0405873   3.10825e-05   1.48402e-33     0.0025709
    0.0653266    -0.0436468   3.23229e-05  -4.49311e-32    0.00255973
    0.0703518    -0.0467237   3.45455e-05  -1.02236e-31    0.00254801
    0.0753769    -0.0495945   2.93208e-05  -7.40719e-32    0.00253253
     0.080402    -0.0524091    2.2065e-05  -2.25977e-32    0.00251601
    0.0854271    -0.0553131   2.10959e-05   1.05173e-32    0.00249709
    0.0904523    -0.0582462   2.21657e-05    3.7678e-32    0.00247737
    0.0954774    -0.0610022   1.65242e-05   2.95267e-32    0.00245244
     0.100503    -0.0636909   8.33038e-06     7.947e-33    0.00242551
     0.105528    -0.0664762   8.22112e-06   8.59924e-33    0.00239608
     0.110553    -0.0693043   1.16786e-05   1.90597e-32    0.00236553
     0.115578    -0.0719792   1.04066e-05   2.22908e-32    0.00232832
     0.120603    -0.0745763    6.7336e-06   2.18515e-32    0.00228773
     0.125628    -0.0772735   1.27948e-05   5.07612e-32    0.00224446
     0.130653    -0.0800288   2.45081e-05   9.67123e-32    0.00219963
     0.135678    -0.0826504   3.41798e-05   8.79844e-32    0.00214684
     0.140704    -0.0851837    4.2502e-05   4.31127e-32    0.00208879
     0.145729    -0.0878171   6.20698e-05   4.88464e-32    0.00202783
     0.150754    -0.0905257   9.00719e-05   9.25343e-32    0.00196468
     0.155779    -0.0931164   0.000118965   8.97408e-32    0.00189252
     0.160804     -0.095607   0.000148615   4.74821e-32    0.00181271
     0.165829     -0.098195   0.000190889   3.80906e-32    0.00172973
     0.170854     -0.100877   0.000245281   6.02516e-32    0.00164371
     0.175879     -0.103453   0.000303316   6.20048e-32    0.00154787
     0.180905     -0.105915   0.000365304   4.16134e-32    0.00144139
      0.18593      -0.10847    0.00044114   3.41852e-32     0.0013315
     0.190955     -0.111137   0.000533973   4.26664e-32    0.00121745
      0.19598     -0.113711   0.000632636   3.95984e-32    0.00109309
     0.201005     -0.116153   0.000739403    2.0474e-32   0.000954401
      0.20603     -0.118679   0.000861022   7.23446e-33   0.000812138
     0.211055      -0.12134    0.00100609   3.28688e-33   0.000664229
      0.21608     -0.123915    0.00115833   5.55695e-34   0.000505924
     0.221106     -0.126337    0.00132348    1.4014e-35   0.000328904
     0.226131     -0.128834    0.00150411  -3.06725e-36   0.000148229
     0.231156     -0.131486    0.00171668   1.06184e-33  -3.99831e-05
     0.236181     -0.134062    0.00193676   9.18865e-34  -0.000238213
     0.241206     -0.136457     0.0021747  -2.09803e-33   -0.00046028
     0.246231     -0.138915    0.00242818  -9.46177e-33  -0.000685932
     0.251256     -0.141551    0.00272466  -2.88629e-32  -0.000921516
     0.256281      -0.14412    0.00302796  -4.06882e-32   -0.00116619
     0.261307     -0.146473    0.00335348  -2.78098e-32   -0.00144051
     0.266332     -0.148877    0.00369367  -1.20571e-32   -0.00171814
     0.271357      -0.15148    0.00409113    1.4905e-32   -0.00200868
