#           x           U_x           U_y           U_z             p
  2.43081e-18   2.09785e-18   1.63867e-16  -2.09702e-45      -2.14616
   0.00502513    0.00433681      0.338757   -4.3351e-30      -2.14937
    0.0100503    0.00867361      0.677514  -8.67019e-30      -2.15258
    0.0150754     0.0115659      0.917382  -6.37016e-30      -2.15511
    0.0201005     0.0144126       1.15413  -3.86059e-30      -2.15762
    0.0251256     0.0173467       1.39473  -8.89073e-30      -2.16623
    0.0301508     0.0202865       1.63558  -1.44126e-29      -2.17525
    0.0351759     0.0157119       1.79514  -6.79674e-30      -2.19019
     0.040201     0.0103774       1.94648   2.14765e-30      -2.20572
    0.0452261    0.00521399       2.10281   1.10201e-29      -2.22706
    0.0502513   7.44013e-05       2.25984   1.98826e-29      -2.24921
    0.0552764    -0.0104708       2.36629   1.47367e-29      -2.28103
    0.0603015    -0.0219929        2.4636   7.05926e-30       -2.3146
    0.0653266    -0.0333826        2.5656  -3.08633e-30      -2.35379
    0.0703518    -0.0447425       2.66867  -1.37872e-29      -2.39425
    0.0753769    -0.0584122       2.74464  -9.57815e-30       -2.4446
     0.080402    -0.0727118       2.81324  -1.30268e-30      -2.49764
    0.0854271    -0.0869554       2.88584   4.04446e-30      -2.55632
    0.0904523     -0.101181       2.95974   8.44187e-30      -2.61683
    0.0954774     -0.115643       3.01733   5.03022e-30      -2.68663
     0.100503     -0.130195       3.06872  -1.35107e-30      -2.75995
     0.105528     -0.144733       3.12344  -2.97101e-30      -2.83892
     0.110553     -0.159265       3.17965  -2.49037e-30      -2.92036
     0.115578     -0.173298       3.22241  -1.51945e-32      -3.00973
     0.120603     -0.187079       3.25836   3.47259e-30      -3.10312
     0.125628     -0.200869        3.2971   1.80897e-29      -3.20215
     0.130653     -0.214663       3.33747   3.91689e-29      -3.30446
     0.135678     -0.227154        3.3642   3.79285e-29      -3.41183
     0.140704     -0.238782       3.38193   2.19345e-29      -3.52256
     0.145729     -0.250352        3.4019   2.27639e-29      -3.63882
     0.150754      -0.26188       3.42353    3.6211e-29      -3.75924
     0.155779     -0.272814       3.43362    3.2342e-29      -3.88191
     0.160804     -0.283243       3.43389   1.37707e-29       -4.0065
     0.165829     -0.293535       3.43585  -9.45599e-31      -4.13637
     0.170854     -0.303694       3.43943  -1.19611e-29      -4.27129
     0.175879     -0.313106       3.43291  -1.17234e-29      -4.40559
     0.180905     -0.321708       3.41542    7.2544e-31      -4.53924
      0.18593     -0.330151       3.39911   1.81163e-29      -4.67775
     0.190955     -0.338398       3.38424   4.15724e-29      -4.82224
      0.19598     -0.346169       3.36196    4.4837e-29      -4.96356
     0.201005     -0.353279       3.32938   2.00304e-29      -5.10048
      0.20603     -0.360211       3.29753  -5.15847e-30      -5.24175
     0.211055     -0.366863       3.26683  -3.09512e-29      -5.38988
      0.21608     -0.373234       3.23128  -4.03265e-29      -5.53336
     0.221106     -0.379098         3.187  -2.01505e-29      -5.66848
     0.226131     -0.384788       3.14315  -4.80467e-30      -5.80732
     0.231156      -0.39012       3.10018   5.78728e-31      -5.95387
     0.236181     -0.395338       3.05451   4.18784e-30      -6.09534
     0.241206     -0.400289       3.00241   3.57538e-30      -6.22475
     0.246231     -0.405089       2.95054   7.11015e-30       -6.3572
     0.251256     -0.409473       2.89926   2.21296e-29      -6.49806
     0.256281     -0.413853        2.8468   2.96256e-29      -6.63428
     0.261307     -0.418227       2.79048   1.25887e-29      -6.75536
     0.266332     -0.422488       2.73425  -8.81993e-30      -6.87876
     0.271357      -0.42631       2.67839  -4.72783e-29      -7.01116
     0.276382     -0.430177       2.62219  -7.14256e-29      -7.13991
     0.281407      -0.43425       2.56445  -2.73842e-29      -7.25126
     0.286432     -0.438254       2.50674   1.58333e-29      -7.36419
     0.291457     -0.441838       2.44923   5.41078e-29      -7.48663
     0.296482     -0.445465       2.39174   8.49757e-29      -7.60668
     0.301508     -0.449425       2.33441   5.72635e-29      -7.70778
     0.306533     -0.453353       2.27709   3.40157e-29      -7.80976
     0.311558     -0.456917       2.21989   6.09934e-29       -7.9217
     0.316583       -0.4605       2.16274   8.43428e-29      -8.03256
     0.321608     -0.464448       2.10673   4.02078e-29      -8.12345
     0.326633      -0.46839       2.05072  -2.94963e-30      -8.21455
     0.331658     -0.472053       1.99481    8.1621e-31      -8.31602
     0.336683     -0.475716        1.9389   4.58205e-30      -8.41748
     0.341709     -0.479691       1.88441  -1.00985e-29      -8.49864
     0.346734      -0.48367       1.82992  -2.49692e-29      -8.57959
     0.351759     -0.487487       1.77557  -9.35853e-29      -8.67047
     0.356784     -0.491297       1.72121  -1.64488e-28      -8.76177
     0.361809     -0.495307       1.66799  -8.45539e-29      -8.83449
     0.366834     -0.499334       1.61486    6.9836e-30      -8.90578
     0.371859     -0.503307       1.56186   5.70318e-29       -8.9862
     0.376884     -0.507274       1.50889   1.02365e-28      -9.06765
      0.38191     -0.511342       1.45664   8.24443e-29       -9.1321
     0.386935     -0.515425       1.40451   5.25431e-29      -9.19395
      0.39196     -0.519542       1.35253   7.58836e-29      -9.26417
     0.396985     -0.523665       1.30057   1.09613e-28      -9.33604
      0.40201     -0.527816         1.249   8.04981e-29      -9.39229
     0.407035     -0.531973       1.19751   3.62693e-29      -9.44479
      0.41206     -0.536227       1.14616   2.87047e-30      -9.50497
     0.417085     -0.540508       1.09486  -2.73933e-29      -9.56738
     0.422111     -0.544773        1.0437  -1.78728e-29      -9.61545
     0.427136     -0.549032      0.992582    5.2725e-30      -9.65861
     0.432161     -0.553429       0.94158   2.15166e-29      -9.70881
     0.437186     -0.557881      0.890624   3.50001e-29      -9.76181
     0.442211     -0.562295      0.839677   2.45111e-29      -9.80168
     0.447236     -0.566691      0.788735   2.93036e-30      -9.83547
     0.452261     -0.571251      0.737869   2.17546e-30      -9.87566
     0.457286     -0.575896      0.687043   1.24843e-29      -9.91925
     0.462312     -0.580498      0.636174  -7.41541e-31      -9.95088
     0.467337     -0.585074      0.585277  -2.82425e-29      -9.97526
     0.472362     -0.589823      0.534416  -3.81637e-29      -10.0054
     0.477387     -0.594693      0.483578   -3.5961e-29      -10.0396
     0.482412     -0.599521      0.432686  -3.27299e-29       -10.063
     0.487437     -0.604317      0.381751  -2.86949e-29      -10.0779
     0.492462     -0.609287       0.33081  -6.53449e-29       -10.098
     0.497487     -0.614413      0.279864  -1.37986e-28      -10.1227
     0.502513     -0.619502      0.228872  -1.32174e-28      -10.1377
     0.507538     -0.624555      0.177834  -4.79104e-29      -10.1431
     0.512563     -0.629777      0.126753   1.66273e-29      -10.1531
     0.517588      -0.63519     0.0756256    5.8866e-29      -10.1684
     0.522613     -0.640571     0.0244651   6.21808e-29      -10.1751
     0.527638     -0.645909    -0.0267374   1.57093e-29      -10.1711
     0.532663     -0.651405    -0.0780109  -2.86897e-29      -10.1711
     0.537688     -0.657129     -0.129388  -7.00838e-29      -10.1769
     0.542714     -0.662821     -0.180784  -8.55304e-29      -10.1754
     0.547739     -0.668464     -0.232213  -5.81986e-29       -10.162
     0.552764     -0.674247     -0.283734  -4.15036e-29       -10.152
     0.557789     -0.680295     -0.335428  -4.48309e-29      -10.1484
     0.562814      -0.68631      -0.38713  -4.18595e-29      -10.1388
     0.567839     -0.692258      -0.43885  -2.52749e-29       -10.116
     0.572864     -0.698326     -0.490673  -6.73127e-30      -10.0961
     0.577889     -0.704695     -0.542754   1.67097e-29      -10.0833
     0.582915     -0.711031     -0.594832   3.25305e-29      -10.0656
      0.58794     -0.717266     -0.646898   2.61007e-29      -10.0336
     0.592965     -0.723598     -0.699068   2.33682e-29      -10.0039
