#           y           U_x           U_y           U_z             p
  1.89651e-19  -6.80115e-18   8.52147e-20   7.11092e-47     -0.414685
   0.00502513     -0.180208    0.00225791   1.88416e-30     -0.416355
    0.0100503     -0.360416    0.00451582   3.76832e-30     -0.418025
    0.0150754     -0.509463    0.00646721   2.12518e-30     -0.418865
    0.0201005     -0.657525    0.00840891   3.70654e-31     -0.419679
    0.0251256     -0.809333     0.0106363  -1.13592e-30     -0.423686
    0.0301508     -0.961385     0.0128822  -2.62633e-30     -0.427901
    0.0351759      -1.08859     0.0114106  -1.36989e-30     -0.436688
     0.040201      -1.21329    0.00956312   1.64324e-31     -0.445937
    0.0452261      -1.34344    0.00818921   2.13833e-31     -0.458424
    0.0502513      -1.47434    0.00688139   5.61736e-32     -0.471364
    0.0552764      -1.58991     0.0031815    1.1045e-31     -0.493217
    0.0603015       -1.7027  -0.000950691   2.03029e-31     -0.516681
    0.0653266      -1.82112   -0.00461447   1.70523e-30     -0.543334
    0.0703518      -1.94081   -0.00817286    3.5246e-30     -0.570705
    0.0753769      -2.05073    -0.0120937   2.62627e-30     -0.611959
     0.080402      -2.15798    -0.0161135   9.86748e-31        -0.657
    0.0854271      -2.27047    -0.0196399  -3.27359e-31     -0.705345
    0.0904523      -2.38465    -0.0230064  -1.53593e-30     -0.754762
    0.0954774      -2.48829    -0.0257371   -1.1611e-30     -0.820581
     0.100503      -2.58792     -0.028226  -1.84145e-31     -0.892636
     0.105528      -2.69221    -0.0301802  -3.27488e-31     -0.968443
     0.110553      -2.79857    -0.0318985   -9.6508e-31      -1.04591
     0.115578      -2.88998    -0.0326362  -1.21242e-30      -1.14048
     0.120603       -2.9738     -0.032876  -1.26163e-30      -1.24375
     0.125628      -3.06152    -0.0325045  -4.81006e-30      -1.35112
     0.130653       -3.1515    -0.0317779  -1.03903e-29      -1.46088
     0.135678      -3.22115    -0.0300613  -9.79553e-30      -1.58566
     0.140704      -3.27735    -0.0276905    -5.119e-30      -1.72037
     0.145729      -3.33646    -0.0245396  -7.78394e-30      -1.85943
     0.150754      -3.39773    -0.0208038   -1.5955e-29      -2.00174
     0.155779      -3.43805    -0.0169045  -1.65906e-29      -2.15354
     0.160804      -3.46056    -0.0128663  -1.08281e-29      -2.31338
     0.165829      -3.48514   -0.00804049  -1.17557e-29      -2.47805
