#           y           U_x           U_y           U_z             p
  1.89651e-19   -1.2046e-18    3.9902e-21   3.19241e-47    -0.0365733
   0.00502513    -0.0319179   0.000105727   8.45883e-31    -0.0366541
    0.0100503    -0.0638357   0.000211454   1.69177e-30    -0.0367349
    0.0150754    -0.0928022   0.000262359   9.55324e-31    -0.0367831
    0.0201005     -0.121676   0.000311533   1.68914e-31    -0.0368302
    0.0251256     -0.151062   0.000385957  -5.61211e-31      -0.03703
    0.0301508     -0.180481   0.000462027  -1.28766e-30    -0.0372398
    0.0351759     -0.207502   0.000265982  -6.74635e-31    -0.0375376
     0.040201      -0.23428   4.24207e-05   7.38476e-32    -0.0378443
    0.0452261     -0.261901   -0.00012145   9.19305e-32    -0.0382886
    0.0502513     -0.289639  -0.000276993   8.09704e-33    -0.0387521
    0.0552764      -0.31556  -0.000752866   3.79498e-32    -0.0395208
    0.0603015     -0.341153   -0.00128663   8.83482e-32    -0.0403447
    0.0653266     -0.367776   -0.00172808   7.06347e-31    -0.0413039
    0.0703518      -0.39463   -0.00214875   1.45206e-30    -0.0422935
    0.0753769     -0.420129   -0.00282632   1.06984e-30    -0.0437557
     0.080402     -0.445257   -0.00357395   3.80014e-31    -0.0453467
    0.0854271     -0.471503   -0.00420791   -1.0519e-31     -0.047091
    0.0904523     -0.498111   -0.00480499  -5.24029e-31     -0.048885
    0.0954774     -0.523668   -0.00551169  -3.87413e-31    -0.0513372
     0.100503     -0.548825   -0.00626007  -3.95657e-32    -0.0540397
     0.105528     -0.575118   -0.00688224   -7.7023e-32    -0.0569182
     0.110553     -0.601911   -0.00744873  -2.84467e-31    -0.0598744
     0.115578     -0.627753   -0.00796831  -3.59837e-31    -0.0636676
     0.120603     -0.653113   -0.00846407  -3.68152e-31    -0.0678857
     0.125628      -0.67958     -0.008821  -1.39393e-30    -0.0723084
     0.130653     -0.706691   -0.00909733  -3.01049e-30    -0.0768499
     0.135678      -0.73274   -0.00920636  -2.82832e-30    -0.0823816
     0.140704     -0.758088    -0.0092048  -1.45714e-30    -0.0885678
     0.145729     -0.784486    -0.0090475  -2.18305e-30    -0.0949924
     0.150754      -0.81167   -0.00877339  -4.48176e-30     -0.101596
     0.155779     -0.837524   -0.00827151  -4.68207e-30     -0.109294
     0.160804     -0.862247   -0.00757623  -3.10072e-30     -0.117921
     0.165829     -0.887938   -0.00670432   -3.4176e-30     -0.126823
     0.170854     -0.914557   -0.00566284  -5.55677e-30     -0.135988
     0.175879     -0.939512    -0.0043938  -6.07498e-30     -0.146278
     0.180905      -0.96266   -0.00287782  -4.83428e-30     -0.157787
      0.18593      -0.98667   -0.00116381  -4.89476e-30     -0.169604
     0.190955      -1.01174   0.000793258  -6.55216e-30     -0.181799
      0.19598      -1.03485    0.00292759  -6.25347e-30     -0.195059
     0.201005      -1.05525    0.00530836  -3.23535e-30     -0.209799
      0.20603      -1.07639    0.00790344  -9.12821e-31     -0.224873
     0.211055      -1.09869     0.0108369   3.11413e-31     -0.240474
      0.21608      -1.11888     0.0138693   9.39078e-31     -0.256975
     0.221106      -1.13528     0.0170796   4.92921e-31     -0.275092
     0.226131      -1.15227     0.0205087  -3.01922e-31     -0.293557
     0.231156      -1.17049     0.0243889  -1.81593e-30     -0.312739
     0.236181      -1.18665      0.028286  -3.08163e-30     -0.332575
     0.241206      -1.19788     0.0322233  -3.75656e-30     -0.353964
     0.246231      -1.20957     0.0363662  -6.13559e-30     -0.375694
     0.251256      -1.22247     0.0410785  -1.32337e-29     -0.398365
     0.256281      -1.23356     0.0457099  -1.72037e-29     -0.421422
     0.261307      -1.23874     0.0500771  -1.09736e-29     -0.445734
     0.266332      -1.24422     0.0546181  -4.37573e-30      -0.47035
     0.271357      -1.25089     0.0598362   3.65645e-30      -0.49615
     0.276382      -1.25628     0.0649386   9.35815e-30     -0.522058
     0.281407       -1.2555     0.0694889   3.95573e-30     -0.548481
     0.286432      -1.25492     0.0741671    1.3108e-31     -0.575141
     0.291457      -1.25543     0.0796116   5.77298e-30     -0.603227
     0.296482      -1.25515     0.0849564   9.85722e-30     -0.631278
     0.301508      -1.24864     0.0895124    1.6218e-30     -0.659049
     0.306533      -1.24222     0.0941401  -7.50624e-30     -0.686968
     0.311558      -1.23675     0.0995731  -2.66763e-29     -0.716564
     0.316583      -1.23095      0.104956  -4.41623e-29     -0.746089
     0.321608      -1.21901      0.109399  -3.03253e-29     -0.774302
     0.326633      -1.20709      0.113859  -1.64386e-29     -0.802554
     0.331658      -1.19596      0.119122  -1.64934e-31     -0.832741
     0.336683      -1.18483      0.124385   1.61087e-29     -0.862928
     0.341709      -1.16841      0.128461   6.10564e-30     -0.890654
     0.346734      -1.15193      0.132524  -4.16837e-30     -0.918356
     0.351759      -1.13601      0.137299  -7.60279e-30     -0.948061
     0.356784      -1.12012      0.142104  -1.07462e-29     -0.977851
     0.361809      -1.10046      0.145772  -5.78101e-30      -1.00448
     0.366834      -1.08052      0.149353  -1.92108e-31      -1.03088
     0.371859      -1.06093      0.153495   1.62081e-30      -1.05921
     0.376884      -1.04138      0.157701   3.00463e-30      -1.08776
