#           y           U_x           U_y           U_z             p
      0.38191      -1.01945      0.160928   7.64892e-31      -1.11277
     0.386935     -0.997155      0.164005  -2.02904e-30      -1.13723
      0.39196      -0.97506      0.167491   8.93588e-30      -1.16355
     0.396985     -0.953005      0.171058   2.25855e-29      -1.19022
      0.40201     -0.929661      0.173864   2.08562e-29      -1.21323
     0.407035     -0.906008      0.176487   1.54283e-29      -1.23536
      0.41206     -0.882445      0.179377   9.89729e-30      -1.25922
     0.417085     -0.858907      0.182345   4.33638e-30      -1.28359
     0.422111     -0.834852      0.184789   2.19095e-30      -1.30438
     0.427136     -0.810619      0.187054   1.21522e-30      -1.32395
     0.432161     -0.786402      0.189464   8.02876e-30      -1.34512
     0.437186     -0.762191      0.191933    1.7958e-29      -1.36693
     0.442211     -0.737934      0.194097    1.4062e-29      -1.38541
     0.447236     -0.713657      0.196119   3.76922e-30      -1.40235
     0.452261     -0.689348      0.198191   1.16483e-30      -1.42075
     0.457286     -0.665023       0.20029   2.64491e-30      -1.43992
     0.462312     -0.640892      0.202261   6.23337e-30      -1.45608
     0.467337      -0.61688      0.204155   1.11007e-29       -1.4704
     0.472362     -0.592808      0.206031   4.12957e-29      -1.48604
     0.477387     -0.568695      0.207893    8.8958e-29      -1.50258
     0.482412     -0.544857      0.209756   7.08206e-29      -1.51645
     0.487437     -0.521232      0.211619    1.2399e-30      -1.52823
     0.492462     -0.497533      0.213419  -6.24546e-29      -1.54118
     0.497487     -0.473768      0.215163  -1.20942e-28      -1.55517
     0.502513     -0.450263      0.216987  -1.11613e-28      -1.56682
     0.507538     -0.427019      0.218892  -3.44665e-29      -1.57614
     0.512563     -0.403691      0.220709   4.68652e-29      -1.58649
     0.517588      -0.38027      0.222428   1.32928e-28        -1.598
     0.522613     -0.357054      0.224266   1.43818e-28      -1.60751
     0.527638     -0.334103      0.226254   5.85543e-29      -1.61446
     0.532663     -0.311065      0.228148  -3.08392e-29       -1.6223
     0.537688       -0.2879      0.229904  -1.26221e-28      -1.63143
     0.542714      -0.26488      0.231785  -1.53256e-28      -1.63887
     0.547739     -0.242097      0.233873  -6.76093e-29      -1.64352
     0.552764     -0.219227       0.23587    8.4944e-30      -1.64892
     0.557789     -0.196192      0.237694   6.66349e-29      -1.65575
     0.562814      -0.17325       0.23963   9.03697e-29      -1.66118
     0.567839      -0.15051      0.241809   3.97438e-29       -1.6636
     0.572864     -0.127685      0.243907  -1.30974e-30      -1.66664
     0.577889     -0.104645      0.245804  -1.84323e-29      -1.67124
     0.582915    -0.0816654      0.247789  -2.74168e-29      -1.67472
      0.58794    -0.0588612      0.250029  -1.26381e-29      -1.67495
     0.592965    -0.0359772      0.252204   3.15433e-30      -1.67567
      0.59799    -0.0128172      0.254154    2.2449e-29      -1.67808
     0.603015     0.0103008      0.256164   3.35121e-29      -1.67966
      0.60804     0.0332437      0.258422   1.03498e-29      -1.67776
     0.613065     0.0562555      0.260632  -1.28937e-29      -1.67621
      0.61809     0.0796204      0.262597  -3.65533e-29       -1.6765
     0.623116      0.102952      0.264596  -5.43207e-29      -1.67623
     0.628141      0.126067      0.266814   -3.3563e-29      -1.67224
     0.633166      0.149232      0.269002  -1.70221e-29      -1.66848
     0.638191      0.172846       0.27093  -3.75898e-29      -1.66671
     0.643216      0.196436      0.272872  -5.49564e-29      -1.66463
     0.648241       0.21971      0.274981    -3.071e-29      -1.65863
     0.653266      0.243008      0.277078  -8.53264e-30      -1.65273
     0.658291      0.266871      0.278903  -3.49782e-29      -1.64897
     0.663317       0.29073       0.28073  -6.10508e-29      -1.64517
     0.668342      0.314105      0.282654  -5.09431e-29      -1.63726
     0.673367       0.33748      0.284578  -4.08354e-29      -1.62934
     0.678392      0.361531      0.286231  -3.79045e-29      -1.62365
     0.683417      0.385597      0.287879  -3.51231e-29      -1.61801
     0.688442      0.409003      0.289533  -2.65466e-29      -1.60852
     0.693467      0.432374      0.291187  -1.76585e-29      -1.59883
     0.698492      0.456483      0.292595  -3.05594e-29      -1.59124
     0.703518      0.480658      0.293981   -4.5397e-29      -1.58384
     0.708543      0.503983      0.295286  -2.18347e-29      -1.57298
     0.713568        0.5272       0.29658   6.58274e-30      -1.56169
     0.718593      0.551212      0.297651   3.14192e-29      -1.55238
     0.723618      0.575356      0.298685   5.56588e-29      -1.54341
     0.728643      0.598451      0.299557   3.15342e-29      -1.53138
     0.733668      0.621326      0.300396  -2.74087e-30      -1.51871
     0.738693      0.645041      0.301033  -3.03224e-29      -1.50791
     0.743719      0.668973      0.301619  -5.61876e-29      -1.49758
     0.748744      0.691663      0.301975  -3.68937e-29      -1.48463
     0.753769      0.713973      0.302259  -3.75095e-30      -1.47086
     0.758794      0.737157      0.302363   5.03286e-29      -1.45884
     0.763819      0.760656      0.302401   1.11969e-28      -1.44745
     0.768844      0.782752      0.302151   9.37427e-29      -1.43385
     0.773869      0.804257      0.301781     4.195e-29      -1.41933
     0.778894      0.826653      0.301248   1.11839e-29      -1.40641
      0.78392       0.84948      0.300636  -9.38747e-30      -1.39428
     0.788945      0.870798      0.299689  -9.44675e-30      -1.38037
      0.79397      0.891278      0.298556   1.88958e-30      -1.36547
     0.798995      0.912642      0.297278   1.52678e-29      -1.35204
      0.80402      0.934566      0.295908   2.99391e-29      -1.33955
     0.809045      0.954992      0.294158   2.72687e-29      -1.32567
      0.81407      0.974342      0.292135   1.21245e-29       -1.3108
     0.819095      0.994543      0.289985   1.22392e-29      -1.29726
     0.824121       1.01544      0.287731    2.4787e-29      -1.28482
     0.829146       1.03508      0.285039   2.10082e-29      -1.27134
     0.834171       1.05357      0.281942   2.18342e-30      -1.25692
     0.839196       1.07284      0.278739  -2.56292e-29       -1.2437
     0.844221       1.09294      0.275424  -6.28041e-29      -1.23171
     0.849246       1.11248       0.27158  -6.81921e-29      -1.21899
     0.854271       1.13135      0.267115  -3.61423e-29      -1.20539
     0.859296       1.15092      0.262564  -2.23133e-29      -1.19284
     0.864322       1.17142      0.257901  -3.27788e-29      -1.18169
     0.869347       1.19281      0.252586   -3.0917e-29         -1.17
     0.874372       1.21553      0.246288  -1.04062e-29       -1.1575
     0.879397       1.23885      0.239926   9.95572e-30      -1.14589
     0.884422       1.26319      0.233457    3.0061e-29      -1.13584
     0.889447       1.29082      0.226231   3.66644e-29      -1.12536
     0.894472       1.32491      0.217514    1.6673e-29      -1.11403
     0.899497        1.3595      0.208753   5.28837e-30      -1.10345
     0.904523       1.39518      0.199895   1.34122e-29      -1.09459
     0.909548       1.43719      0.190303   1.62999e-29      -1.08534
     0.914573       1.49579      0.178784   5.41833e-30      -1.07507
     0.919598       1.55478      0.167236   4.15501e-30      -1.06541
     0.924623       1.61497      0.155599    3.2548e-29      -1.05762
     0.929648       1.68382      0.143508   5.03533e-29      -1.04948
     0.934673       1.78441      0.129749   2.93367e-29      -1.04004
     0.939698       1.88529      0.115972   1.10786e-29      -1.03105
     0.944724        1.9875      0.102115   5.08026e-30       -1.0241
     0.949749       2.09807     0.0883366   1.45689e-30      -1.01686
     0.954774       2.25488     0.0749965   1.09752e-29      -1.00804
     0.959799       2.41188     0.0616474   2.10463e-29     -0.999516
     0.964824       2.57026     0.0482339   3.50785e-29     -0.993179
     0.969849        2.7332     0.0352734   4.64313e-29     -0.986751
     0.974874       2.94117     0.0267916   3.12884e-29     -0.979417
     0.979899       3.14921     0.0183077   1.90106e-29     -0.972236
     0.984925       3.35832    0.00979003    5.0665e-29     -0.967386
      0.98995       3.56764    0.00150997   8.01239e-29     -0.962647
     0.994975       3.78382   0.000754984    4.0062e-29     -0.961406
            1             4             0             0     -0.960165
