#           x           U_x           U_y           U_z             p
  2.43081e-18   4.71672e-21   3.89584e-17  -1.52297e-45     -0.299884
   0.00502513    9.7507e-06     0.0805373  -3.14838e-30     -0.299993
    0.0100503   1.95014e-05      0.161075  -6.29676e-30     -0.300102
    0.0150754   -0.00133911      0.224521  -4.69063e-30     -0.300937
    0.0201005   -0.00274093      0.287427  -2.93436e-30     -0.301794
    0.0251256   -0.00414146       0.35099  -6.88934e-30     -0.302864
    0.0301508    -0.0055419      0.414595  -1.12168e-29     -0.303948
    0.0351759   -0.00870424       0.46365  -5.31818e-30     -0.305458
     0.040201    -0.0120447      0.511235   1.61451e-30      -0.30701
    0.0452261    -0.0154056      0.559797   8.42822e-30     -0.308782
    0.0502513    -0.0187693      0.608496   1.52253e-29     -0.310585
    0.0552764    -0.0236528      0.645853   1.13065e-29      -0.31304
    0.0603015    -0.0288109      0.681161     5.451e-30     -0.315613
    0.0653266    -0.0340342      0.717545  -2.33034e-30     -0.318422
    0.0703518    -0.0392721      0.754171   -1.0545e-29     -0.321285
    0.0753769    -0.0455521      0.782578  -7.34102e-30     -0.325017
     0.080402    -0.0521162      0.808744  -1.02286e-30     -0.328986
    0.0854271    -0.0588005      0.835964    3.0485e-30     -0.333216
    0.0904523    -0.0655237      0.863525   6.39116e-30      -0.33753
    0.0954774    -0.0728184      0.885434   3.89298e-30     -0.342789
     0.100503    -0.0803304      0.905194  -8.26381e-31     -0.348406
     0.105528    -0.0880139      0.925933  -2.04035e-30     -0.354313
     0.110553    -0.0957731      0.947105  -1.70782e-30     -0.360347
     0.115578     -0.103712      0.964408  -6.81761e-32      -0.36731
     0.120603     -0.111741      0.979747   2.23509e-30     -0.374744
     0.125628     -0.119981      0.995981    1.1978e-29     -0.382498
     0.130653     -0.128343       1.01273   2.60407e-29     -0.390439
     0.135678     -0.136603       1.02667   2.51622e-29     -0.399239
     0.140704     -0.144796       1.03874   1.44073e-29     -0.408608
     0.145729     -0.153221       1.05162   1.46563e-29     -0.418327
     0.150754     -0.161821       1.06512   2.31582e-29      -0.42831
     0.155779     -0.170145       1.07632   2.06496e-29     -0.439043
     0.160804     -0.178235       1.08558   8.79222e-30     -0.450413
     0.165829     -0.186563       1.09557  -4.46751e-31      -0.46216
     0.170854      -0.19512       1.10627  -7.17208e-30     -0.474271
     0.175879     -0.203311       1.11492  -7.04925e-30     -0.486987
     0.180905     -0.211105       1.12136   5.04571e-31     -0.500362
      0.18593     -0.219127       1.12845   1.10582e-29     -0.514133
     0.190955      -0.22743       1.13633   2.52936e-29     -0.528392
      0.19598     -0.235337       1.14234    2.7248e-29     -0.543087
     0.201005     -0.242693       1.14573    1.2129e-29     -0.558386
      0.20603     -0.250257       1.14969  -3.18321e-30     -0.574091
     0.211055     -0.258149       1.15453  -1.88003e-29     -0.590435
      0.21608     -0.265656       1.15767  -2.44909e-29     -0.607032
     0.221106     -0.272468       1.15774  -1.23137e-29     -0.624082
     0.226131     -0.279458       1.15827  -2.91434e-30     -0.641531
     0.231156     -0.286816       1.15977   7.55565e-31     -0.659799
     0.236181     -0.293829       1.15981   3.07878e-30     -0.678144
     0.241206     -0.300022       1.15637    2.1978e-30     -0.696672
     0.246231     -0.306357       1.15329   4.03068e-30     -0.715569
     0.251256     -0.313087       1.15123   1.33789e-29     -0.735494
     0.256281     -0.319535         1.148   1.79535e-29      -0.75535
     0.261307     -0.325059       1.14096    6.9624e-30     -0.774984
     0.266332     -0.330688       1.13419  -6.91053e-30      -0.79494
     0.271357     -0.336724       1.12846  -3.20224e-29     -0.816152
     0.276382     -0.342552        1.1219  -4.77337e-29     -0.837205
     0.281407      -0.34739       1.11135  -1.86535e-29     -0.857503
     0.286432     -0.352294       1.10097   9.98504e-30     -0.878051
     0.291457     -0.357599       1.09164   3.59737e-29     -0.900101
     0.296482     -0.362776        1.0818   5.69599e-29     -0.921974
     0.301508      -0.36694       1.06796   3.83807e-29     -0.942447
     0.306533     -0.371138       1.05421     2.287e-29     -0.963075
     0.311558     -0.375708       1.04147   4.18801e-29     -0.985464
     0.316583     -0.380226       1.02851   5.83484e-29      -1.00774
     0.321608      -0.38376       1.01175   2.75387e-29      -1.02789
     0.326633     -0.387301      0.995005  -2.57505e-30      -1.04808
     0.331658     -0.391168       0.97919   7.19348e-31      -1.07028
     0.336683     -0.395035      0.963375   4.01374e-30      -1.09249
     0.341709     -0.398019      0.944157  -6.94145e-30      -1.11187
     0.346734     -0.400995      0.924904  -1.80436e-29      -1.13121
     0.351759     -0.404209      0.906419  -7.01685e-29      -1.15265
     0.356784     -0.407435      0.887968  -1.24039e-28      -1.17417
     0.361809     -0.409995      0.866922  -6.38509e-29      -1.19253
     0.366834     -0.412504      0.845677   5.11105e-30      -1.21065
     0.371859     -0.415157      0.825016   4.31501e-29      -1.23082
     0.376884     -0.417827      0.804421   7.76752e-29      -1.25121
      0.38191     -0.420045      0.781969   6.27844e-29      -1.26826
     0.386935     -0.422194      0.759233   4.03357e-29      -1.28479
      0.39196     -0.424401      0.736918   5.92114e-29      -1.30329
     0.396985     -0.426619      0.714685   8.61504e-29      -1.32218
      0.40201      -0.42858      0.691223   6.32771e-29      -1.33767
     0.407035     -0.430479      0.667465   2.84237e-29      -1.35235
      0.41206     -0.432363      0.643992    2.0206e-30       -1.3689
     0.417085     -0.434242      0.620602  -2.19363e-29      -1.38598
     0.422111     -0.436031      0.596478  -1.44171e-29      -1.39975
     0.427136     -0.437788      0.572104   3.88167e-30      -1.41239
     0.432161     -0.439471      0.547906   1.71371e-29      -1.42676
     0.437186     -0.441123       0.52378   2.83751e-29      -1.44183
     0.442211      -0.44282      0.499284   1.98924e-29      -1.45376
     0.447236     -0.444536      0.474617   2.28528e-30      -1.46423
