#           x           U_x           U_y           U_z             p
     0.507538      -1.12692      0.257694  -1.38733e-29      -85.8053
     0.512563      -1.14074      0.121023   4.76569e-30      -85.8427
     0.517588      -1.15499    -0.0158037   1.69507e-29      -85.9182
     0.522613      -1.16928     -0.152629   1.79076e-29      -85.9317
     0.527638      -1.18363     -0.289454   4.50271e-30      -85.8657
     0.532663      -1.19832     -0.426465  -8.29599e-30      -85.8291
     0.537688      -1.21351     -0.563748  -2.02158e-29      -85.8352
     0.542714      -1.22875     -0.701041  -2.46708e-29      -85.7878
     0.547739      -1.24405     -0.838353   -1.6819e-29      -85.6526
     0.552764      -1.25966     -0.975887  -1.20163e-29      -85.5425
     0.557789      -1.27583      -1.11384  -1.29527e-29      -85.4796
     0.562814      -1.29204      -1.25181  -1.20794e-29      -85.3721
     0.567839      -1.30834      -1.38983  -7.29458e-30      -85.1683
     0.572864      -1.32488      -1.52808  -1.94832e-30      -84.9852
     0.577889      -1.34204      -1.66692   4.80145e-30      -84.8543
     0.582915      -1.35924      -1.80578   9.34806e-30      -84.6875
      0.58794      -1.37653      -1.94473   7.46146e-30      -84.4158
     0.592965      -1.39401       -2.0839   6.63724e-30      -84.1606
      0.59799      -1.41216      -2.22386   9.48304e-30      -83.9626
     0.603015      -1.43032      -2.36384   9.81141e-30      -83.7374
      0.60804      -1.44859      -2.50394  -3.27408e-31      -83.3988
     0.613065      -1.46699      -2.64423  -1.06944e-29      -83.0725
      0.61809      -1.48606      -2.78554  -2.22305e-29      -82.8086
     0.623116      -1.50515      -2.92687  -3.04982e-29      -82.5261
     0.628141      -1.52435      -3.06835  -1.73952e-29      -82.1218
     0.633166      -1.54363      -3.20997  -4.48586e-30      -81.7254
     0.638191      -1.56353      -3.35286   6.71941e-30      -81.3969
     0.643216      -1.58345      -3.49576   1.64335e-29      -81.0585
     0.648241      -1.60352      -3.63887   6.76207e-30        -80.59
     0.653266      -1.62362      -3.78205  -3.19745e-30      -80.1246
     0.658291      -1.64426      -3.92674  -1.99272e-29      -79.7332
     0.663317       -1.6649      -4.07144  -3.63347e-29      -79.3404
     0.668342      -1.68576      -4.21647  -2.14734e-29      -78.8091
     0.673367      -1.70663      -4.36151  -6.61221e-30      -78.2779
     0.678392      -1.72787      -4.50824   4.49278e-30      -77.8237
     0.683417      -1.74913        -4.655   1.55195e-29      -77.3712
     0.688442      -1.77064      -4.80227   1.04077e-29       -76.786
     0.693467      -1.79217      -4.94956   4.42816e-30      -76.1937
     0.698492      -1.81386      -5.09854  -2.60983e-31      -75.6754
     0.703518      -1.83556      -5.24768  -4.83543e-30      -75.1636
     0.708543      -1.85759      -5.39752  -5.15093e-30      -74.5279
     0.713568      -1.87966      -5.54746  -4.92794e-30      -73.8765
     0.718593      -1.90167      -5.69904  -1.83694e-29      -73.2958
     0.723618      -1.92367      -5.85089  -3.40883e-29      -72.7269
     0.728643      -1.94594      -6.00367  -2.35337e-29      -72.0426
     0.733668      -1.96826      -6.15665  -7.46491e-30      -71.3341
     0.738693      -1.99034       -6.3112   7.10884e-31      -70.6929
     0.743719      -2.01236      -6.46614   6.86283e-30       -70.069
     0.748744       -2.0346      -6.62207   6.28734e-30      -69.3384
     0.753769       -2.0569       -6.7783   3.64876e-30       -68.575
     0.758794      -2.07884      -6.93595  -2.55819e-30      -67.8756
     0.763819      -2.10065      -7.09412  -1.00537e-29      -67.1992
     0.768844      -2.12224        -7.253  -8.96007e-30       -66.425
     0.773869      -2.14373      -7.41218  -4.25645e-30      -65.6096
     0.778894       -2.1648      -7.57255  -9.20974e-30      -64.8544
      0.78392      -2.18566      -7.73351  -1.88452e-29      -64.1285
     0.788945      -2.20604      -7.89424  -1.70421e-29      -63.3144
      0.79397      -2.22615      -8.05484   -8.8844e-30      -62.4512
     0.798995      -2.24585      -8.21641  -9.04867e-30      -61.6444
      0.80402      -2.26528       -8.3786  -1.44835e-29      -60.8733
     0.809045      -2.28339      -8.53917  -1.37519e-29      -60.0243
      0.81407      -2.30055      -8.69858   -8.5846e-30      -59.1192
     0.819095      -2.31739      -8.85905  -5.27165e-30      -58.2663
     0.824121      -2.33398      -9.02036   -3.4696e-30      -57.4559
     0.829146      -2.34986      -9.17914  -2.25395e-30       -56.579
     0.834171      -2.36508      -9.33557   -1.5787e-30      -55.6408
     0.839196      -2.38001       -9.4937    3.5613e-30      -54.7503
     0.844221      -2.39465      -9.65362   1.33521e-29      -53.9097
     0.849246      -2.41017      -9.81514   1.43365e-29      -53.0123
     0.854271      -2.42673      -9.97854   4.94894e-30      -52.0483
     0.859296      -2.44261      -10.1444   1.07093e-30      -51.1276
     0.864322       -2.4576      -10.3137   4.53898e-30      -50.2648
     0.869347      -2.47945      -10.5001   5.22804e-30      -49.3499
     0.874372      -2.51167      -10.7124     1.713e-30      -48.3562
     0.879397      -2.54228      -10.9274  -2.30231e-31      -47.4036
     0.884422       -2.5701      -11.1469   5.33568e-31      -46.5216
     0.889447      -2.61009       -11.409   9.14406e-31      -45.5733
     0.894472      -2.67405       -11.755   5.40924e-31      -44.4943
     0.899497      -2.73659      -12.1024  -2.89498e-31      -43.4647
     0.904523      -2.79589       -12.453  -2.15565e-30       -42.547
     0.909548      -2.84725      -12.7974  -2.89564e-30      -41.4897
     0.914573      -2.87775      -13.1253  -6.74232e-31      -40.0649
     0.919598       -2.9067      -13.4576   1.88204e-30      -38.6721
     0.924623      -2.93087      -13.8034   5.47083e-30      -37.3778
     0.929648       -2.9383      -14.0819   7.59385e-30      -36.1277
     0.934673      -2.88437      -14.1137   4.34237e-30      -35.0399
     0.939698      -2.83148      -14.1512   1.53541e-30       -33.967
     0.944724       -2.7832      -14.2138   7.04084e-31      -32.9606
     0.949749      -2.71403      -14.1689   3.18374e-32       -31.986
     0.954774      -2.52918      -13.5289   2.39842e-31      -31.1866
     0.959799      -2.34786      -12.8949    3.3879e-31      -30.4097
     0.964824      -2.19181      -12.3034  -3.43839e-31      -29.7929
     0.969849       -2.0113      -11.5627  -9.70453e-31      -29.2034
     0.974874      -1.58889      -9.34803  -1.04314e-30      -28.8839
     0.979899      -1.16873      -7.13265  -1.11794e-30      -28.5766
     0.984925     -0.783106       -4.9064  -1.22514e-30      -28.4552
      0.98995     -0.403114      -2.70688  -1.30902e-30      -28.3354
     0.994975     -0.201557      -1.35344  -6.54512e-31      -28.2677
            1             0             0             0      -28.1999
