#           y           U_x           U_y           U_z             p
     0.492462      -1.30039       0.44235  -2.11307e-29      -85.4571
     0.497487      -1.17129       0.45578  -4.06407e-29      -85.6854
     0.502513      -1.04225      0.469236  -3.74911e-29      -85.8429
     0.507538     -0.913256      0.482719  -1.16819e-29      -85.9295
     0.512563     -0.783817      0.496261   1.53309e-29       -86.049
     0.517588     -0.653871      0.509871   4.37043e-29      -86.2057
     0.522613     -0.523967      0.523509   4.73789e-29      -86.3003
     0.527638     -0.394116      0.537184   1.94621e-29      -86.3154
     0.532663     -0.263803      0.550876  -9.66953e-30      -86.3592
     0.537688      -0.13282      0.564594  -4.05626e-29      -86.4448
     0.542714   -0.00184699       0.57834  -4.94084e-29      -86.4769
     0.547739      0.129108      0.592134  -2.19058e-29      -86.4209
     0.552764      0.260522       0.60591    2.5137e-30      -86.3895
     0.557789      0.392798       0.61965   2.11296e-29      -86.4045
     0.562814      0.525076      0.633416   2.87529e-29      -86.3747
     0.567839      0.657361      0.647239   1.26182e-29      -86.2481
     0.572864      0.790085      0.661015  -4.38304e-31       -86.142
     0.577889      0.923907      0.674677  -5.79906e-30      -86.0873
     0.582915       1.05774      0.688361  -8.62036e-30      -85.9965
      0.58794       1.19162      0.702112  -4.02646e-30         -85.8
     0.592965       1.32589      0.715799   8.90427e-31      -85.6199
      0.59799       1.46154      0.729268   6.92306e-30      -85.4965
     0.603015       1.59721      0.742756   1.03918e-29      -85.3456
      0.60804       1.73297      0.756318   3.20007e-30      -85.0803
     0.613065       1.86905      0.769812  -4.00914e-30      -84.8271
      0.61809       2.00683      0.782953   -1.1308e-29      -84.6362
     0.623116       2.14464      0.796108  -1.67888e-29      -84.4264
     0.628141       2.28259      0.809357  -1.03822e-29      -84.0936
     0.633166       2.42077      0.822547  -5.26242e-30      -83.7685
     0.638191       2.56103      0.835214  -1.14654e-29      -83.5118
     0.643216       2.70129      0.847889  -1.67003e-29      -83.2449
     0.648241       2.84176      0.860665  -9.34957e-30      -82.8461
     0.653266       2.98233       0.87341  -2.62871e-30      -82.4505
     0.658291       3.12539      0.885424  -1.07108e-29      -82.1299
     0.663317       3.26846       0.89744   -1.8679e-29      -81.8079
     0.668342        3.4118      0.909589  -1.56056e-29      -81.3452
     0.673367       3.55514      0.921739  -1.25322e-29      -80.8825
     0.678392       3.70135      0.932945  -1.16325e-29      -80.4988
     0.683417       3.84762      0.944132   -1.0778e-29      -80.1168
     0.688442       3.99413      0.955434  -8.15053e-30         -79.6
     0.693467       4.14066      0.966742  -5.42774e-30       -79.076
     0.698492       4.29022      0.976966  -9.23889e-30      -78.6287
     0.703518       4.44004      0.987093  -1.36308e-29      -78.1882
     0.708543       4.59016      0.997367  -6.60445e-30       -77.622
     0.713568       4.74031       1.00766   1.86562e-30      -77.0398
     0.718593       4.89363       1.01674   9.26329e-30      -76.5322
     0.723618       5.04749       1.02562   1.64822e-29       -76.037
     0.728643       5.20154       1.03455   9.27617e-30      -75.4253
     0.733668       5.35563       1.04349  -9.57367e-31      -74.7891
     0.738693       5.51302        1.0511  -9.16444e-30      -74.2251
     0.743719       5.67126       1.05837  -1.68519e-29      -73.6797
     0.748744       5.82991       1.06581  -1.10618e-29       -73.027
     0.753769       5.98868        1.0733  -1.13859e-30      -72.3415
     0.758794       6.15085       1.07936    1.5095e-29      -71.7258
     0.763819       6.31426       1.08492   3.36074e-29      -71.1355
     0.768844       6.47817       1.09045   2.81084e-29      -70.4475
     0.773869       6.64229       1.09597   1.25178e-29      -69.7184
     0.778894       6.80986       1.09999   3.33369e-30      -69.0569
      0.78392       6.97911       1.10329  -2.74418e-30      -68.4281
     0.788945       7.14961       1.10699  -2.79602e-30      -67.7107
      0.79397        7.3208       1.11092   4.99947e-31       -66.944
     0.798995       7.49545        1.1133   4.44813e-30      -66.2423
      0.80402       7.67229        1.1147   8.80939e-30      -65.5817
     0.809045       7.85029       1.11594     7.986e-30      -64.8422
      0.81407       8.02911       1.11706   3.43331e-30       -64.046
     0.819095       8.21136        1.1166   3.41776e-30      -63.3119
     0.824121       8.39642       1.11486   7.09915e-30      -62.6283
     0.829146       8.58255       1.11414    5.9952e-30      -61.8743
     0.834171       8.76967       1.11438   4.81217e-31      -61.0552
     0.839196       8.96021       1.11307  -7.67797e-30       -60.295
     0.844221       9.15432       1.11013  -1.85926e-29      -59.5959
     0.849246       9.34575       1.10604  -2.01392e-29      -58.8389
     0.854271       9.53401       1.10059  -1.06524e-29      -58.0135
     0.859296       9.72574       1.09367  -6.55299e-30      -57.2429
     0.864322       9.92209       1.08479  -9.63669e-30      -56.5455
     0.869347       10.1117       1.07742  -9.10148e-30      -55.7997
     0.874372       10.2911       1.07235  -3.09152e-30      -54.9808
     0.879397        10.474       1.06598   2.81799e-30      -54.2119
     0.884422       10.6631       1.05735   8.55448e-30      -53.5293
     0.889447       10.8372       1.04508   1.04397e-29      -52.8198
     0.894472       10.9819       1.02563   4.73907e-30      -52.0573
     0.899497       11.1303       1.00509   1.50129e-30       -51.339
     0.904523       11.2868      0.982088   3.84597e-30       -50.721
     0.909548        11.426       0.96157   4.67953e-30      -50.0829
     0.914573       11.5197      0.947572   1.53941e-30      -49.3922
     0.919598       11.6169      0.932752   1.10748e-30      -48.7385
     0.924623       11.7248      0.915395   9.02578e-30      -48.1993
     0.929648       11.8186      0.892226   1.39873e-29      -47.6624
     0.934673       11.8606      0.847748   8.10726e-30      -47.1343
     0.939698       11.9057      0.802746   3.00809e-30       -46.635
     0.944724       11.9642      0.755409    1.3794e-30      -46.2632
     0.949749       12.0621      0.708747    4.0025e-31      -45.8917
     0.954774       12.3775      0.665813   3.01522e-30       -45.521
     0.959799        12.695      0.622592   5.78853e-30      -45.1698
     0.964824       13.0273      0.577306   9.69667e-30      -44.9587
     0.969849       13.4985      0.527546   1.28747e-29      -44.7451
     0.974874        15.343      0.433541   8.83224e-30      -44.5068
     0.979899       17.1884      0.339458   5.65357e-30      -44.2785
     0.984925       19.0474      0.244191    1.5719e-29      -44.2022
      0.98995       21.0175       0.14955   2.50922e-29      -44.1258
     0.994975       26.5087      0.074775   1.25461e-29      -44.0443
            1            32             0             0      -43.9628
