#           y           U_x           U_y           U_z             p
  2.33731e-19  -1.73131e-16   2.07955e-18             0      -15.5744
   0.00502513      -3.52149      0.046745             0      -15.6397
    0.0100503       -6.3757      0.101147             0      -15.7435
    0.0150754      -8.68122      0.115014             0      -16.0621
    0.0201005      -10.6876      0.105914             0      -16.6345
    0.0251256      -12.2775     0.0603149             0      -17.5729
    0.0301508      -13.7361    0.00659025             0      -18.8674
    0.0351759      -15.1081    -0.0517411             0      -20.4948
     0.040201      -16.3249     -0.108703             0      -22.6916
    0.0452261      -17.4508     -0.160743             0      -25.2803
    0.0502513       -18.491     -0.207424             0      -28.2495
    0.0552764       -19.266     -0.245795             0      -31.8022
    0.0603015      -19.8848     -0.276203             0       -35.675
    0.0653266      -20.2958     -0.297718             0      -39.8921
    0.0703518      -20.4522     -0.316124             0      -44.2941
    0.0753769      -20.5296     -0.333977             0       -48.843
     0.080402      -20.5073     -0.355567             0      -53.4662
    0.0854271      -20.3732     -0.375403             0      -58.1198
    0.0904523      -20.1821     -0.390485             0        -62.86
    0.0954774      -19.8983     -0.399705             0      -67.5514
     0.100503      -19.5517     -0.408914             0       -72.126
     0.105528      -19.1738     -0.416287             0      -76.6944
     0.110553      -18.7661     -0.424954             0      -81.0744
     0.115578       -18.366      -0.43425             0      -85.3389
     0.120603      -17.9728     -0.442999             0      -89.5639
     0.125628      -17.6129     -0.452995             0      -93.5909
     0.130653      -17.2731     -0.461881             0      -97.5558
     0.135678      -16.9502     -0.469559             0      -101.485
     0.140704      -16.6564     -0.476361             0      -105.245
     0.145729      -16.3718     -0.481732             0      -108.983
     0.150754       -16.098     -0.485896             0      -112.676
     0.155779      -15.8363     -0.489099             0      -116.239
     0.160804      -15.5782     -0.490851             0      -119.792
     0.165829      -15.3246     -0.491536             0      -123.284
     0.170854      -15.0737     -0.491346             0      -126.667
     0.175879      -14.8235     -0.489801             0      -130.047
     0.180905      -14.5742     -0.487482             0      -133.346
      0.18593      -14.3252     -0.484488             0      -136.553
     0.190955      -14.0761     -0.480323             0      -139.756
      0.19598      -13.8272     -0.475625             0      -142.858
     0.201005      -13.5789     -0.470312             0      -145.889
      0.20603      -13.3305     -0.464103             0      -148.909
     0.211055      -13.0833     -0.457477             0      -151.812
      0.21608      -12.8368      -0.45026             0      -154.667
     0.221106      -12.5907     -0.442361             0      -157.502
     0.226131      -12.3467     -0.434111             0      -160.208
     0.231156      -12.1034     -0.425286             0      -162.886
     0.236181      -11.8609     -0.415937             0      -165.531
     0.241206       -11.621      -0.40628             0      -168.053
     0.246231      -11.3817     -0.396063             0      -170.558
     0.251256      -11.1437     -0.385446             0      -173.012
     0.256281      -10.9083     -0.374551             0       -175.36
     0.261307      -10.6734     -0.363117             0      -177.697
     0.266332      -10.4403     -0.351382             0      -179.965
     0.271357      -10.2094     -0.339396             0      -182.145
     0.276382      -9.97908     -0.326895             0      -184.319
     0.281407      -9.75093      -0.31417             0      -186.408
     0.286432      -9.52464     -0.301185             0      -188.429
     0.291457      -9.29898     -0.287782             0       -190.44
     0.296482      -9.07581     -0.274184             0      -192.357
     0.301508      -8.85411     -0.260325             0      -194.226
     0.306533      -8.63314     -0.246133             0       -196.08
     0.311558      -8.41495     -0.231768             0      -197.831
     0.316583      -8.19785     -0.217142             0      -199.552
     0.321608      -7.98163     -0.202254             0      -201.253
     0.326633      -7.76831     -0.187212             0      -202.847
     0.331658      -7.55576     -0.171911             0      -204.427
     0.336683      -7.34446     -0.156409             0       -205.97
     0.341709       -7.1357     -0.140765             0      -207.422
     0.346734       -6.9276     -0.124871             0      -208.866
     0.351759      -6.72109     -0.108819             0      -210.258
     0.356784      -6.51676    -0.0926372             0      -211.574
     0.361809      -6.31298    -0.0762159             0      -212.886
     0.366834      -6.11106    -0.0596697             0      -214.134
     0.371859      -5.91092    -0.0429922             0      -215.321
     0.376884       -5.7113    -0.0261091             0      -216.504
      0.38191      -5.51373   -0.00911177             0      -217.614
     0.386935      -5.31749    0.00802464             0      -218.678
      0.39196      -5.12181     0.0253246             0      -219.735
     0.396985      -4.92827     0.0427464             0       -220.71
      0.40201      -4.73565     0.0603019             0      -221.657
     0.407035      -4.54359     0.0779863             0      -222.593
      0.41206      -4.35372     0.0958034             0      -223.439
     0.417085      -4.16438      0.113746             0      -224.273
     0.422111      -3.97579        0.1318             0      -225.082
     0.427136      -3.78899       0.14999             0      -225.812
     0.432161      -3.60256      0.168293             0      -226.536
     0.437186      -3.41702      0.186702             0      -227.223
     0.442211      -3.23288      0.205249             0      -227.842
