#           x           U_x           U_y           U_z             p
            0             0             0             0      -57.7078
   0.00502513     0.0653005       3.84443             0      -57.7532
    0.0100503      0.187151       7.14604             0      -57.7516
    0.0150754      0.291324       9.80655             0      -57.9526
    0.0201005       0.38095       12.0764             0      -58.3897
    0.0251256      0.425058       13.6765             0      -59.1073
    0.0301508      0.446739       15.0014             0      -60.0808
    0.0351759      0.453023       16.1362             0      -61.3075
     0.040201      0.442583        17.032             0       -62.853
    0.0452261       0.42975        17.849             0      -64.6482
    0.0502513      0.414723       18.5913             0      -66.6899
    0.0552764      0.397911        19.176             0      -69.0396
    0.0603015       0.38115       19.6905             0      -71.6132
    0.0653266      0.364104       20.1111             0      -74.4079
    0.0703518      0.344502       20.3661             0      -77.4138
    0.0753769      0.325552       20.5488             0      -80.5968
     0.080402      0.306639       20.6231             0      -83.9106
    0.0854271      0.282383       20.5954   -3.4634e-28      -87.2935
    0.0904523      0.257973       20.5169  -1.21491e-28      -90.8026
    0.0954774      0.234011       20.3522  -1.32371e-28      -94.3439
     0.100503      0.208069       20.1254             0      -97.8688
     0.105528      0.181988       19.8657             0      -101.456
     0.110553      0.154665       19.5584             0      -104.974
     0.115578      0.127106        19.231             0      -108.454
     0.120603     0.0998935       18.8913             0      -111.954
     0.125628     0.0720784       18.5391             0      -115.331
     0.130653     0.0445959       18.1871             0      -118.679
     0.135678     0.0175981       17.8354             0      -122.021
     0.140704   -0.00935524        17.491             0      -125.218
     0.145729    -0.0355582        17.152             0      -128.408
     0.150754    -0.0611216       16.8191             0      -131.566
     0.155779    -0.0862178       16.4965             0      -134.601
     0.160804     -0.110391        16.179             0      -137.637
     0.165829     -0.133897       15.8679             0      -140.619
     0.170854     -0.156873       15.5637             0      -143.499
     0.175879     -0.178855       15.2629             0      -146.387
     0.180905     -0.200285       14.9667             0        -149.2
      0.18593     -0.221244       14.6741             0      -151.932
     0.190955     -0.241237       14.3836             0      -154.672
      0.19598     -0.260849       14.0963             0       -157.32
     0.201005     -0.279999       13.8111             0      -159.908
      0.20603     -0.298346       13.5275             0      -162.494
     0.211055     -0.316437       13.2466             0      -164.975
      0.21608     -0.334047       12.9675             0      -167.417
     0.221106     -0.351011       12.6898             0      -169.848
     0.226131     -0.367836       12.4152             0      -172.162
     0.231156     -0.384139       12.1423             0      -174.456
     0.236181     -0.399957       11.8711             0      -176.726
     0.241206     -0.415708       11.6032             0      -178.882
     0.246231     -0.430907        11.337             0       -181.03
     0.251256     -0.445788       11.0728             0      -183.134
     0.256281     -0.460632       10.8121             0      -185.142
     0.261307     -0.474911       10.5529             0      -187.146
     0.266332     -0.489035       10.2961             0      -189.089
     0.271357     -0.503138       10.0425             0       -190.95
     0.276382      -0.51667       9.79034             0      -192.814
     0.281407     -0.530205       9.54111             0        -194.6
     0.286432     -0.543668       9.29446             0      -196.325
     0.291457     -0.556675       9.04933             0      -198.047
     0.296482     -0.569777       8.80734             0      -199.682
     0.301508     -0.582751       8.56748             0      -201.275
     0.306533     -0.595386        8.3291             0       -202.86
     0.311558     -0.608206       8.09405             0      -204.349
     0.316583     -0.620841       7.86069             0      -205.813
     0.321608     -0.633254       7.62882             0      -207.263
     0.326633     -0.645921       7.40028             0      -208.613
     0.331658     -0.658361       7.17307             0      -209.954
     0.336683     -0.670726       6.94759             0      -211.264
     0.341709     -0.683335       6.72496             0      -212.489
     0.346734     -0.695719       6.50356             0       -213.71
     0.351759     -0.708166       6.28408             0      -214.886
     0.356784     -0.720847         6.067             0       -215.99
     0.361809     -0.733309       5.85103             0      -217.096
     0.366834     -0.745968       5.63713             0      -218.142
     0.371859     -0.758824        5.4252             0      -219.132
     0.376884      -0.77152       5.21429             0      -220.122
      0.38191     -0.784522       5.00555             0      -221.043
     0.386935      -0.79767       4.79834             0      -221.924
      0.39196     -0.810742       4.59211             0      -222.801
     0.396985     -0.824217       4.38805             0      -223.601
      0.40201     -0.837788       4.18514             0      -224.376
     0.407035     -0.851364       3.98314             0      -225.143
      0.41206     -0.865442       3.78326             0      -225.825
     0.417085     -0.879569        3.5842             0      -226.498
     0.422111     -0.893824        3.3861             0      -227.151
     0.427136     -0.908585       3.18974             0      -227.727
     0.432161     -0.923398       2.99403             0      -228.299
     0.437186     -0.938468       2.79932             0      -228.839
     0.442211     -0.954026       2.60591             0      -229.313
     0.447236     -0.969649       2.41303             0      -229.789
     0.452261     -0.985659        2.2211             0      -230.218
     0.457286      -1.00213       2.03009             0      -230.593
     0.462312      -1.01868       1.83948             0      -230.973
     0.467337      -1.03576       1.64971             0      -231.294
     0.472362      -1.05323        1.4605             0      -231.576
     0.477387      -1.07085       1.27157             0      -231.857
     0.482412      -1.08909       1.08329             0      -232.073
     0.487437      -1.10768      0.895272             0      -232.263
     0.492462      -1.12646      0.707411             0      -232.448
     0.497487      -1.14598      0.519915             0      -232.559
     0.502513      -1.16577      0.332444             0      -232.658
     0.507538      -1.18584      0.145004             0      -232.744
     0.512563      -1.20668    -0.0424245             0      -232.756
     0.517588      -1.22776     -0.230006             0      -232.765
     0.522613      -1.24923     -0.417736             0      -232.747
     0.527638      -1.27144     -0.605788             0      -232.665
     0.532663      -1.29387     -0.794153  -8.11205e-28      -232.584
     0.537688      -1.31683     -0.982918  -5.24898e-28      -232.464
     0.542714      -1.34044      -1.17227  -3.20419e-40      -232.287
     0.547739      -1.36428       -1.3621   6.01246e-28      -232.116
     0.552764      -1.38877      -1.55264   7.34857e-28      -231.893
     0.557789      -1.41382      -1.74399             0      -231.626
     0.562814      -1.43912      -1.93597             0      -231.362
     0.567839      -1.46516      -2.12904             0      -231.036
     0.572864      -1.49168      -2.32306             0      -230.678
     0.577889      -1.51846      -2.51786             0      -230.318
     0.582915      -1.54607       -2.7142             0      -229.887
      0.58794      -1.57406      -2.91158             0      -229.437
     0.592965      -1.60233       -3.1099             0       -228.98
      0.59799       -1.6315      -3.31023             0      -228.444
     0.603015      -1.66094      -3.51163             0      -227.902
      0.60804      -1.69075      -3.71431             0      -227.338
     0.613065      -1.72138      -3.91914             0      -226.703
      0.61809      -1.75222      -4.12521             0      -226.066
     0.623116      -1.78353      -4.33296             0      -225.394
     0.628141      -1.81557      -4.54293             0      -224.657
     0.633166      -1.84775      -4.75429             0      -223.925
     0.638191      -1.88049      -4.96776             0      -223.142
     0.643216      -1.91384      -5.18346             0      -222.304
     0.648241      -1.94727       -5.4007             0      -221.472
     0.653266      -1.98137      -5.62051             0      -220.573
     0.658291      -2.01589       -5.8425             0      -219.636
     0.663317      -2.05048      -6.06616             0      -218.699
     0.668342       -2.0858      -6.29288             0      -217.683
     0.673367      -2.12136      -6.52167             0      -216.643
     0.678392      -2.15697      -6.75224             0      -215.598
     0.683417      -2.19334      -6.98635             0      -214.463
     0.688442      -2.22975      -7.22238             0      -213.317
     0.693467      -2.26626      -7.46051             0      -212.153
     0.698492      -2.30342      -7.70219             0      -210.903
     0.703518      -2.34047      -7.94584             0       -209.65
     0.708543      -2.37767      -8.19198             0      -208.363
     0.713568      -2.41538      -8.44145             0      -206.996
     0.718593       -2.4528      -8.69301             0      -205.634
     0.723618      -2.49044      -8.94742             0       -204.22
     0.728643      -2.52842       -9.2049             0      -202.736
     0.733668      -2.56592      -9.46459             0      -201.262
     0.738693      -2.60369      -9.72744             0      -199.717
     0.743719      -2.64155       -9.9931             0      -198.119
     0.748744      -2.67886       -10.261             0      -196.526
     0.753769      -2.71644      -10.5324             0      -194.848
     0.758794      -2.75381      -10.8064             0      -193.134
     0.763819      -2.79058      -11.0826             0       -191.42
     0.768844      -2.82761      -11.3625             0      -189.606
     0.773869      -2.86411      -11.6449             0      -187.776
     0.778894          -2.9      -11.9297             0      -185.934
      0.78392      -2.93605      -12.2183             0      -183.987
     0.788945      -2.97127      -12.5092             0      -182.038
      0.79397      -3.00592      -12.8029             0      -180.058
     0.798995      -3.04055      -13.1001             0      -177.986
      0.80402      -3.07401      -13.3999             0      -175.918
     0.809045      -3.10695      -13.7025             0      -173.799
      0.81407      -3.13965      -14.0085             0      -171.598
     0.819095      -3.17073       -14.317             0      -169.411
     0.824121       -3.2013      -14.6284             0      -167.151
     0.829146      -3.23112      -14.9423             0      -164.826
     0.834171      -3.25902      -15.2584             0      -162.514
     0.839196      -3.28605      -15.5765             0      -160.113
     0.844221      -3.31155      -15.8955             0      -157.668
     0.849246      -3.33483      -16.2157             0       -155.23
     0.854271      -3.35634      -16.5348             0      -152.691
     0.859296      -3.37542      -16.8525             0      -150.133
     0.864322      -3.39186      -17.1695             0      -147.575
     0.869347      -3.40535      -17.4798             0       -144.91
     0.874372      -3.41582      -17.7875             0      -142.252
     0.879397      -3.42329      -18.0914             0      -139.578
     0.884422      -3.42849      -18.3896             0      -136.819
     0.889447      -3.43146      -18.6893             0      -134.079
     0.894472      -3.43329      -18.9908             0      -131.309
     0.899497      -3.43938      -19.3134             0      -128.465
     0.904523      -3.44703      -19.6589             0      -125.643
     0.909548      -3.46347      -20.0516             0      -122.754
     0.914573      -3.49791       -20.539             0      -119.762
     0.919598      -3.54038      -21.0948             0      -116.757
     0.924623      -3.61015      -21.8064             0      -113.571
     0.929648      -3.70156      -22.6689             0      -110.177
     0.934673      -3.79895      -23.6255             0      -106.675
     0.939698      -3.90233       -24.742             0      -102.715
     0.944724      -3.93875      -25.5904             0      -98.4577
     0.949749      -3.91948      -26.2361             0      -94.0074
     0.954774       -3.8112       -26.293             0      -89.8759
     0.959799      -3.60141      -25.8963             0      -85.8971
     0.964824      -3.28953      -25.0217             0      -82.0808
     0.969849      -2.80717      -22.5289             0      -78.9836
     0.974874      -2.25359      -19.2981             0      -76.5353
     0.979899      -1.60638      -15.0737             0       -74.942
     0.984925     -0.965639      -10.3837             0      -74.5194
      0.98995     -0.423655      -5.97043             0      -74.5217
     0.994975    -0.0856131      -2.31257             0       -75.016
            1             0             0             0      -75.1246
